route_id,trip_id,trip_headsign,service_id
0,336,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,331,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,330,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,333,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,332,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
6,744,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
6,745,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
5,818,To BiltMore Hotel & Suites and Avatar Hotel,0
0,345,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,3
6,748,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
0,6,To Shoreline,2
3,99,To Shoreline,3
3,98,To Shoreline,3
2,844,To The Domain Hotel & Wild Palms Hotel,0
3,91,To Shoreline,2
3,90,To Shoreline,1
3,93,To Shoreline,2
3,92,To Shoreline,2
3,95,To Shoreline,3
3,94,To Shoreline,2
3,97,To Shoreline,3
3,96,To Shoreline,3
5,814,To BiltMore Hotel & Suites and Avatar Hotel,0
5,815,To BiltMore Hotel & Suites and Avatar Hotel,0
3,740,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
3,741,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
3,742,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
6,743,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
2,559,To The Domain Hotel & Wild Palms Hotel,1
2,558,To The Domain Hotel & Wild Palms Hotel,1
6,746,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
6,747,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
2,555,To The Domain Hotel & Wild Palms Hotel,1
2,554,To The Domain Hotel & Wild Palms Hotel,1
2,557,To The Domain Hotel & Wild Palms Hotel,1
2,556,To The Domain Hotel & Wild Palms Hotel,1
2,551,To The Domain Hotel & Wild Palms Hotel,1
2,550,To The Domain Hotel & Wild Palms Hotel,1
2,553,To The Domain Hotel & Wild Palms Hotel,1
2,552,To The Domain Hotel & Wild Palms Hotel,1
7,238,To Shoreline,1
7,239,To Shoreline,1
7,234,To Shoreline,1
7,235,To Shoreline,1
7,236,To Shoreline,1
7,237,To Shoreline,1
7,230,To Shoreline,1
7,231,To Shoreline,1
7,232,To Shoreline,1
7,233,To Shoreline,1
0,1,To Shoreline,1
9,614,"Westin St. Francis, via Millbrae BART",1
5,146,To Shoreline,1
5,147,To Shoreline,2
5,144,To Shoreline,1
5,145,To Shoreline,1
4,142,To Shoreline,3
4,143,To Shoreline,3
4,140,To Shoreline,3
4,141,To Shoreline,3
9,612,"Westin St. Francis, via Millbrae BART",1
9,613,"Westin St. Francis, via Millbrae BART",1
9,610,"Westin St. Francis, via Millbrae BART",1
9,611,"Westin St. Francis, via Millbrae BART",1
9,616,"Westin St. Francis, via Millbrae BART",1
9,617,"Westin St. Francis, via Millbrae BART",1
5,148,To Shoreline,2
5,149,To Shoreline,2
6,768,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
0,689,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,688,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,685,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,684,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,687,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,686,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,681,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,680,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,683,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
0,682,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,0
9,623,"Westin St. Francis, via Millbrae BART",2
5,819,To BiltMore Hotel & Suites and Avatar Hotel,0
9,622,"Westin St. Francis, via Millbrae BART",2
4,133,To Shoreline,3
4,132,To Shoreline,3
4,131,To Shoreline,3
4,130,To Shoreline,3
4,137,To Shoreline,2
4,136,To Shoreline,1
4,135,To Shoreline,1
4,134,To Shoreline,1
4,494,To Plaza Suites & Embassy Suites Santa Clara,2
4,495,To Plaza Suites & Embassy Suites Santa Clara,2
4,139,To Shoreline,2
4,138,To Shoreline,2
